user,sentence1(human),score1,Dialog rating1,sentence2(fb),score2,Dialog rating2,sentence3(gpt),score3,dialog rating3
I am really looking forward to the thanksgiving holiday!,Me too! My whole family are going to Hawaii for vacation. What about you?,0.5,1,Me too! I can't wait to see my family and eat all of their delicious food!,1,0.75,Me too! I'm so excited!,1,0.75
"I will hanging out with my friends, I'm so excited. Do you already have a plan for your trip?",We will go to the beach for sure. Where are you going with your friends?,0.5,," Yes, we are going to the beach. I can't wait to see the waves!",1,,"I have a plan, but I'm not sure if I want to go to the beach.",1,
We will go climbing. Hope there will be a nice weather.,"Yeah, believe me, it will be good.",0.5,,Climbing is a lot of fun. What kind of climbing are you going to do?,0.5,,I hope so too.,1,
Don't forget send me a postcard from Hawaii!,"Sure, no problem! ",1,," I would if I could, but I don't have a lot of money to spare right now.",0.5,,I will!,0.5,
,,,,,,,,,
I feel upset because I failed my test.,"I'm sorry to hear that, what part did you lose your points?",1,0.75," I'm sorry to hear that. What kind of test was it, and why did you fail?",1,1,I feel like I failed my test.,1,0.75
"It's all about Math, I can't remember how it works, I feel so regret that I didn't spend much time on those equations.","I see. I guess if you spend more time on math, you will do better next time!",0.5,,Math is not my strong suit either. I am not good at it at all.,1,,I feel you. I spent a lot of time on those equations.,1,
,,,,,,,,,
I do not even dare to imaging we can win this match!,Me neither. But who knows what will happen?,0.5,1," I don't think we can either, but I'm rooting for you!  What's your team?",1,0.5,I don't even dare to imagine we can win this match!,1,0.75
"Yeah, sometimes something magical might happen.",Agree! Let's focus on our work and pray for the best!,1,," I know, I was so happy to see it. It was the first time I've ever seen it.",0.5,,"I know, right? I'm so excited for this game.",1,
,,,,,,,,,
Hey! What are you up to this Friday?,I am tied to my course project. Do you have any plan?,0.5,1,I'm going to the beach!  I can't wait!  How about you?,0.5,1,"Nothing much, you?",0.5,1
I want to go to the beach! The weather will be sunny.,That sounds great! What will you guys do on the beach?,1,,That sounds like a lot of fun! I hope you get to go soon. What beach are you going to?,1,,I want to go to the beach too!,1,
,,,,,,,,,
Do you have any plans this weekend?,I am visiting my family and I am so excited. How about you?,0.5,1,I'm going to the beach! I can't wait to get out of the house!,0.5,1,"I have plans for the weekend, but I'm not sure what they are.",0.5,0.25
I have got a lot of course work to do and I am stressed out.,Sorry to hear that. Did you try to work with your classmates? Maybe they could help.,1,,I'm sorry to hear that. What kind of work is it that you have to do?,1,,I know that feel.,0,
,,,,,,,,,
How about going to the cinema tonight?,That sounds great. Which movie do you want to watch?,0.5,1,That sounds like a lot of fun. What movie are you going to see? I haven't been to the theater in a long time.,0.5,1,I'm going to see it in a few hours.,0.5,0.5
I know that Venom is on hit right now. How about that?,That's a good idea! But what's it about? I never heard it.,1,,I don't think I've heard of it. Is it a movie or a TV show?,0.5,,I think it's a bit too strong.,0.5,
,,,,,,,,,
I am really worried about the exam. I have no idea what will be on it.,"No worries. I guess if you work hard, everything should be fine.",0,1," I'm sure you'll do great! What kind of exam is it, if you don't mind me asking?",0,1,I'm sure you'll be fine.,1,0.5
But the problem is the course materials are too hard for me to understand.,I can feel you. Did you try to talk to your professor? Maybe he can answer your questions.,1,,I'm sorry to hear that. What kind of course are you taking right now?,1,,I think you need to take a class on how to use the word''.,1,
,,,,,,,,,
Are we going to have gym class tomorrow?,Yes! I cannot wait for it. Are you also excited?,0.5,1,I don't think so. I'm not sure if I want to go to the gym or not.,0.5,0.5,I'm not sure. I'm not sure if I can do it.,0.5,0.5
Yeah! I did not work out for a long time because of heavy course work.,"Forget about it! By the way, what's your favorite exercise?",1,,I'm sorry to hear that. I hope you are able to get back into it soon.,0,,I know that feel.,1,
,,,,,,,,,
Is there something wrong? You look so sad.,Yes my grandpa is sick and he is in the hospital right now.,1,1," No, I'm fine. I just don't know what to do with my life right now.",1,1,I'm not sad.,0,0
I am sorry to hear that. How is his condition right now?,"He's stable now, but I don't know what's going to happen next.",1,," He is doing much better now, thank you for asking. He had a stroke a few years ago.",1,,He's doing great. He's a very happy dog.,0,
,,,,,,,,,
Happy Mother's Day! Mom!,Thank you! I hope I didn't let you down as a mom.,1,1," Thank you! It's been a long time since I've seen my mom, so it was nice to see her.",1,0.75,Thank you! She's a sweetheart.,1,0.75
I have prepared you a surprise.,"Oh really? Thank you, what is it?",1,," What kind of a surprise is that? I hope it's a good one, because I'm really looking forward to it.",1,,I am prepared to receive it.,0.5,
A necklace!,What a surprise! This is the best present I've ever received.,1,,Do you have a favorite type of jewelry? I love gold necklaces.,1,,"I know, right? I was like, I want a necklace!",1,
Thank you for your love and care over the years. I love you so much.,Love you too.,1,," Aww, thank you! I appreciate that. I hope you have a great day! ",1,,I love you too.,1,
,,,,,,,,,
You heard that? Dan got a divorce.,Are you serious? When did this happen?,1,1," Oh no, I'm so sorry to hear that. I hope you're doing okay. ",0,1,I heard that.,0.5,0.75
I don't know exactly but I heard they broke up after an argument.,That's really a shock news. I thought he loved his wife very much.,1,,I'm sorry to hear that. I hope everything works out for you in the long run.,1,,I heard they were in a fight.,0.5,
He cheated on his wife.,"God. If I were his wife, I would also file for divorce. ",1,,I am so sorry to hear that. I hope you are able to move on and find someone better.,1,,"I know, but it's still a pretty big deal.",0.5,
"Yeah, his wife must be angry. ",He deserved it.,1,,I don't know what to do. I feel like I'm going to have to break up with her.,1,,I think she's just happy that he's not in the NFL anymore.,0.5,
,,,,,,,,,
I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together.,Where was the fireworks?,0.5,0.75,That sounds like a lot of fun.  Did you guys have a good time?  What did you guys do?,1,1,That's awesome!,1,1
It is on Colorado island and it is a famous place for fireworks.,"I know that place, their fireworks are really amazing.",1,," I've never been there, but I know it's in the Rocky Mountains.",1,,I was there last night. It was a great show.,1,
,,,,,,,,,
It feels like hitting to blank wall when i see the darkness.,I agree! Are you scared about darkness?,1,1,I know what you mean. It's like you don't know what's out there.,1,1,I feel like hitting to blank wall when I see the darkness.,0,0
"Yeah, I always feel helpless when I am in the complete darkness.","I have the same feeling, it always makes me unconfortable.",1,,I know what you mean.  It's hard to get out of the dark sometimes.,1,,I feel helpless when I'm in the complete darkness.,0,
,,,,,,,,,
"During christmas a few years ago, I did not get any presents.",That's too bad man. But why you didn't get any presents?,1,1,I'm sorry to hear that.  Did you get a gift at least?  What did you get?,1,1,"I got a few presents, but not a lot.",0.5,0.75
Because I dont have any friends.,"Don't worry, you have friends now!",1,,I'm sorry to hear that. Do you have any hobbies that you like to do?,1,,I feel you.,1,
,,,,,,,,,
I never thought things would go like this.,What happened? You looks upset.,1,1," I know, right?  I was so shocked.  I thought I was going to die.",1,1,"I know, right? I was expecting a little more.",1,1
My girlfriend cheated on me and left me!,"What! How can she do that, you treated her well.",1,,I am so sorry to hear that. I hope you are able to move on and find someone better.,1,,I'm sorry to hear that.,1,
,,,,,,,,,
"I will have to work in an important project, so i will not be able to travel next weekend.",That's too bad. Just wondering what project is it?,1,1," I'm sorry to hear that. What kind of project is it, if you don't mind me asking?",1,1,I understand. I hope you can find a good place to work.,1,1
It is a group project focusing on polishing the app UI. The manager says this one is very important.,"Oh my god, that's really a lot of work.",1,,That sounds like a lot of work. Do you think you'll be able to do it?,1,,I think it's a good idea to have a group project for the UI.,1,
,,,,,,,,,
"It's raining outside, it's too bad. What's the weather like in your hometown?",It's sunny all the time and I really miss it. How about your hometown?,1,1," It's been raining a lot lately, but it hasn't rained in a while.",1,1,It's raining here too.,1,1
Not that good. Weather changes from time to time and mostly cloudy and rainy.,The climates are various in your hometown. I don't like such kind of place.,1,," Yeah, it's been raining a lot here lately. I hope it clears up soon.",1,,I'm in the same boat. I'm in the same time zone as you and it's raining here.,1,
"I also don't like it, it caused me a lot of inconvenience.","At least it's not bad here. Look, the rain stops.",1,," I know, right?  It's so annoying.  I don't know what to do about it.",1,,I don't like it either.,1,
,,,,,,,,,
My friend Mary was bitten by a dog yesterday.,That's too bad! Is everything OK for her though?,1,1,Oh no! I hope she is okay. Was it a big dog or a small one?,1,1,I'm sorry to hear that.,1,1
"Not really, now she is hospital. I am worried that she might get rabies.",Don't worry too much. She would be all right.,1,," Oh no, I'm sorry to hear that. I hope everything turns out well for her.",1,,I hope you are joking.,1,
,,,,,,,,,
I will be visiting Europe soon!,I have been there once and it was a great place to visit!,1,1,I hope you have a great time! Where in Europe are you visiting? I've always wanted to go.,1,1,I'm sure you will love it!,1,1
Wow! I am so exciting now. So please tell me some great places of interests to take photos!,"I love Barcelona soccer team, so I strongly recommend you to take a visit there.",1,,I love to take pictures of nature. I love taking pictures of the wildlife.,1,,I will!,1,
,,,,,,,,,
Do you want to see a play? I hear Hamlet is on at the National Theater.,I would like to go! When is it?,1,1,I would love to see Hamlet. It is one of my favorite plays of all time.,1,1,I'm not sure what you mean by play.,0,0
"Let me check. Oh, what a pity! There's no performance at the National Theater this weekend. So we have to go to cinema instead. ","Oh, no! I can't enjoy Shakespeare's works again!",1,,I'm sorry to hear that. I hope you have a good time at the theater.,1,,I'm going to cinema instead.,0,
,,,,,,,,,
I really regret ever dating my last boyfirend.,Sorry to hear that. What happened if you don't mind I ask?,1,0.75,I'm sorry to hear that. Why do you feel that way? Was it a bad relationship?,1,1,I regret ever dating my last girl.,0,0.25
He is always getting upset and losing his temper over nothing. It's so hard to talk to him.,Maybe it's just that he is stressed out from the work. He does have a pretty nerve wracking job you know.,1,,I'm sorry to hear that. Have you tried talking to him about it? I know it can be hard sometimes.,1,,I know. I'm sorry.,1,
"But he is always in a really foul mood. I try to find out what's bothering him, but he never told me. ",I think you two should have a good communication.,0.5,,I'm sorry to hear that. Have you talked to him about it? Maybe he's just having a bad day.,1,,I know what you mean. I know what you mean.,0,
,,,,,,,,,
Your tree looks beautiful. Do you decorate it this way every year?,Thank you. Yes I decorate it every year and I learned this kind of stuff from a TV show.,1,1," Yes, it is my favorite part of the year.  I love decorating it.",1,1,I do. I have a few different styles.,1,1
,,,,,,,,,
I slept through my alarm and ended up two hours late to work.,That's too bad. Did your manager blame you?,1,1,Oh no! I hate when that happens. I hope you didn't miss too much work.,1,1,I woke up at 8: 30 and was still in bed.,0.5,0.5
"Yes, of course. I felt really bad because he deduct my salary, too.",What a sad thing. You'd better set a few more alarms next time.,1,," Oh no, that's not good.  Did you talk to him about it at all?",1,,I feel you. I feel you.,1,
,,,,,,,,,
I'm going to the concert this evening. Will you come with me?,I would like to but I have some personal issues to deal with.,1,1,What concert are you going to? I would love to go with you if I could.,1,1,I'll be there too!,1,0.5
"Oh, is that something bad happening to you?","Not so bad, I need to fix my laptop tonight, I need to use it tomorrow.",1,," No, I just don't know what to do with it. I don't want to get rid of it.",1,,I'm not sure.,0,
,,,,,,,,,
Man! That car almost hit me!,Are you Okay though?,1,0.75,Oh no!  What happened?  Did you get hurt?  I hope you weren't hurt.,1,1,"I was going to say, that car almost hit me!",0,0
I was scared. I thought I might die if that car hit me!,I'm so sorry for my carelessness and I will not drive that fast I promise.,1,,Oh no! I hope you are okay. Did you get hit by a car or something?,1,,I was scared. I thought I might die if that car hit me! english haiku bot,0,
,,,,,,,,,
I am so happy to know that I could make some contribution to our company.,You worked very hard and I am not surprised about your achievements at all.,1,1,That's great! What kind of contribution do you think you'll be able to make?,1,1,I'm glad you're happy to be part of the team.,1,0.5
"I am glad to hear that. That was what I need to achieve, to realize our company's value.","Please keep it up, you are one of the best staff.",1,," Yeah, it's a great feeling to be appreciated for what you've done.",1,,I'm glad to hear that. That was what I needed to realize our company's value.That was what I needed to realize our company's value.That was what I needed to realize our company's value.,0,
,,,,,,,,,
I am watching a food show at a very famous seafood restaurant. I really want to eat at that restaurant.,What's the restaurant?,0.5,0.75,What is the name of the restaurant? I would love to try it too. I love to eat.,1,1,I love seafood.,1,1
"It is located near the beach, the view is great!","Fantastic! Next time you go, please call me and we can enjoy the food as well as the sea breeze.",1,,Do you live near a beach? I would love to visit one someday.,0.5,,"I was just there last week, it's a great view.",1,
,,,,,,,,,
I got all A's last semester.,Congratulations! You must have worked very hard to achieve this.,1,1,That's great! What are you going to do with your A's now that you've graduated?,1,1,I got all A's last semester.,1,1
Thanks! But I have to keep doing this so that my parents can feel proud of me.,"You are so filial, you parents will be proud of you for sure.",1,,You should be proud of yourself. It takes a lot of courage to do something like that.,1,,I know that feel.,1,
,,,,,,,,,
I was content when I found out that I had passed a class in college.,That is great. Keep on!,1,0.75,Congratulations! That must have been a huge relief. What was the class about?,1,1,I was content when I found out that I had passed a class in college.,1,0.5
But I am worried about my next semester because I am going to take a much difficult class that I have no knowledge about.,"Difficulties are always there, but there are more ways than difficulties. Come on!",0,,I'm sure you'll do fine.  What class is it?  Are you nervous?,1,,I'm sure you'll be fine.,0,
,,,,,,,,,
"So I bought a lottery ticket on a whim and won $250, talk about a lucky day!",Brilliant! How are you going to spend the money?,1,1," Wow, that is a lot of money.  Did you buy a lotto ticket or something?",1,1,I got a free ticket from a friend of mine.,0.5,0.4
Definitely I want to have a big meal in a decent restaurant.,"I am so jealous,  I hope I can get such a luck day as well.",1,,What kind of restaurant would you like to go to? I love a good steak.,0.5,,I want to have a big meal in a decent restaurant.,0.5,
"Believe me, you will. Let's go to restaurant together, I want to share my happniess.",I am counting on that. Let's go!,1,,I would love to go to a nice restaurant with you. What kind of food do you like?,1,,I'm not sure if I want to go to a restaurant together.,0,
,,,,,,,,,
You'd better give up smoking. It's bad for your health.,I know but it's very hard to give it up.,0.5,0.5," I know, but I can't help it. I love the smell of cigarettes.",0,0.5,I don't smoke.,0.5,0.5
,,,,,,,,,
I ran out of funds for college and they want me to get a private loan.,"Sorry to hear that, but I am sure you will get over this.",1,1,I'm sorry to hear that. I hope you can find a way to pay it off.,0.5,1,You can get a loan for a private loan.,0.5,0.25
"I am very nervous now, I don't know if they will approve my loan request.","Don't be too anxious. If you are in a hurry to use the money, I can lend you some first. ",1,,I'm sorry to hear that. Why do you think they won't approve of it?,0.5,,I am not sure if they will approve your loan request.,0.5,
Really? You are so nice! I really appreciate that. I will give it back to you as soon as I have money.,You are welcome. Everyone has difficult times and I'd be happy to help you.,1,," That would be very nice of you, thank you. I hope you have a great day!",0,,I'm not sure if you're being sarcastic or not.,0,
,,,,,,,,,
My family and I are going on our first cruise next year!,Wonderful. Where are you going?,1,1,That sounds like a lot of fun!  Where are you going?  I hope you have a great time!,1,1,Have fun!,1,1
We will go to Europe. I have been waiting for this cruise since long time ago!,I can feel. What are you going to do on the cruise?,0.5,,That sounds like a lot of fun! I hope you have a great time! Where are you going?,1,,I'm so excited!,1,
We are going to watch the seaview and trying out delicious food from all over the world! I am excited about it!,That's really impressive. Is it expensive though?,1,,That sounds like a lot of fun! What kind of food are you going to be eating?,1,,I'm jealous!,0,
,,,,,,,,,
I was surprised when my aunt got me a computer for school.,It's so nice of your aunt. What computer is it?,1,1,That was nice of her. What kind of computer did she get you? Did you like it?,1,1,I was surprised when my aunt got me a computer for school. english haiku bot,1,0.9
It's a MacBook Pro. I love this computer!,Wow that's a really good computer! How will you use your computer?,1,,Me too! It's so fast! I can't believe it's been out for so long!,1,,I love it too! I'm so glad I got it.,1,
It has super powerful CPU and I am sure it will facilitate my course project by a lot!,That's great. I hope you enjoy your new computer!,1,,That's great! What kind of project is it? I'm sure you'll do great!,1,,I'm sure it will be a great project.,0.5,
I will. Thank you!,You are welcome.,1,,You are welcome.  I hope you have a great day.  What do you like to do for fun?,1,,You're welcome,1,
,,,,,,,,,
I feel kinda bad. I took something that wasn't mine.,No worries. Did you try to find the owner?,1,1,Oh no!  What did you take?  I hope it wasn't something you needed.,1,1,I feel ya.,0,0.5
I did but I didn't receive any response so far. I don't know what to do next...,I see. Did you talk to the front desk? Maybe they could help.,0.5,,I'm sorry to hear that. Have you tried talking to them about it? I'm sure they'll understand.,1,,I sent you a message.,0,
That's a good idea! I never thought about it. Let me talk to them.,Yeah go for it. They should be able to figure out the owner.,1,," Yeah, I think it's a great idea.  I don't want them to think I'm a loser.",1,,I hope you find a good one!,1,
Thank you for your suggestions. I will do it right now.,You are welcome!,1,,You're welcome.  I hope it goes well for you.  You can do it!,1,,No problem. I hope you enjoy it.,1,
,,,,,,,,,
I came home today and my whole house was clean.,That's great. Any idea who cleaned it for you?,1,1,That is always a good feeling.  What did you do with the rest of the house?,1,0.8,I came home today and my whole house was clean.,1,0.6
No idea. I wish I could find out and I owe that a guy a big meal!,That's me actually!,1,," I know, right?  I was so mad at him.  I don't know what I would have done.",0,,I know the feeling.,0,
Seriously? Thank you so much for the surprise!,No problem my friend. I am ready for the big meal.,1,," I know, I was so happy.  I didn't think it was going to happen.",1,,You're welcome! I'm glad you like it!,1,
Absolutely! I will treat you Korean barbeque tonight.,Awesome! I love Korean barbeque.,1,,Yum! I love Korean BBQ. What are you going to do with the leftovers?,1,,I will be there.,0.5,
,,,,,,,,,
Sorry I was late for the meeting today. I got stuck in traffic.,No problem. This happens. Just make sure you understand what we discussed on today's meeting.,0.5,0.5,Oh no! I hate when that happens. Did you at least make it to the meeting?,1,1,"No problem, I understand.",0.5,0.75
I will. I am excited to start our new project.,Me too. Let's sit down and talk about the details on Wednesday.,0.5,,That's great! What kind of project is it? Is it something you've been working on for a while?,1,,I'm excited to see what you guys do.,1,
,,,,,,,,,
I love sports! What's your favorite sport?,Basketball! Do you like basketball?,0.5,0.9," I don't really have a favorite sport, but I do enjoy watching the Olympics.",0.5,0.6,I love sports! I love sports! I love sports! I love sports! I love sports! I love sports! I love sports! I love sports! I love sports!,1,0.4
Absolutely! I play basketball a lot and watch NBA all the time.,Good to know! Which NBA team do you like most?,1,,Do you have a favorite team? I'm a big fan of the Los Angeles Lakers.,0.5,,I'm a basketball fan as well.,1,
Lakers for sure! I love Kobe Bryant and LeBron James.,Same here! Do you think Lakers can win the championship this season?,1,,The Lakers are one of the best teams in the NBA. They have been around since 1961.,0.5,,I love you,0,
Definitely! They will win if they can play hard as a team.,Fingers crossed and wish them for the best.,1,,I hope so.  I think they have a good chance of making it to the playoffs.,1,,"I think they will win, but I think they will lose.",0,
,,,,,,,,,
I really do hate public transportation. It's just never on time.,Same here. Do you consider buying a car yourself?,1,1," I hate it too. It takes so long to get to where I need to go, and it's so inconvenient.",1,1,I feel you. I hate it when I have to wait for a bus to get to work.,1,0.5
"I did ever think about it, but I think it's scary to drive especially on freeways.","I feel you. I was also scared when I first drove on the freeway, but I think if you drive more, you will get used to it.",1,," I agree, I don't think I could ever drive on a highway like that.",1,,I drive on freeways all the time. I don't mind it.,0,
,,,,,,,,,
Excuse me. This chicken doesn't taste right to me.,I am so sorry to hear that. Let me double check. Okay?,0.5,0.75,I'm sorry to hear that.  What is wrong with it?  Is it rotten?,0.5,0.5,I think it's the way it's cooked.,0,0
To be honest I am a little disappointed. I waited for so long to get a table and the food you served is not satisfying.,"I apologize for our service. To compensate, you will have this meal for free. Is this OK for you?",1,,I'm sorry to hear that. What was wrong with the food that you were serving?,0.5,,I'm not sure what you expected.,0.5,
,,,,,,,,,
My favorite singer is going to have a concert tomorrow!,Great to hear that! Are you going?,1,1,What kind of concert is it? I love going to concerts! I hope you have a great time!,1,0.8,I'm jealous!,0,0.3
For sure! I got two tickets actually. Wanna join me?,Absolutely! Do you want to have dinner together before the concert?,1,," I would love to, but I don't know if I can make it out of work.",1,,I'm down.,0,
Why not? What type of cuisine do want to eat?,How about Mexican food? I know there's a good Mexican restaurant near the concert.,0.5,," I don't know, I guess I just don't want to go out and eat. ",0,,"I don't know, I just want to know what people think about it.",0.5,
I love Mexican food! Let's go there.,Awesome! The dinner is on me.,1,," I love mexican food as well, especially tacos and enchiladas.",1,,I love Mexican food too!,1,
,,,,,,,,,
You look so good in this shirt.,"Thanks, I like this brand so much.",1,1," Thank you, I appreciate that. It's been a long time since I've worn a nice shirt.",1,1,Thanks! I'm glad you like it.,1,0.8
What brand is it? I also like its design.,It's Nike. It has high quality with bearable price.,1,,It's a Lamborghini.  It's my favorite car.  I can't wait to get it.,1,,It's a custom made one from a company called Peculiar.,0.5,
Good to know! Maybe I will check it out during Thanksgiving.,"Cool, I also need to buy a new jeans and we can go there together!",1,," I hope you do, it's a lot of fun.  I can't wait to see what it's all about.",1,,I hope you do!,1,
,,,,,,,,,
I wish I was better at public speaking like Barack Obama.,You can do it! You only need to keep practicing so that you can be better on that.,1,0.5,I'm sure you're a great speaker! Speaking in front of people is one of my favorite things to do.,1,0.75,I wish I was better at public speaking.,1,1
Yes I know. But I don't think I am confident enough.,Trust yourself! No one is confident at the very beginning and you can gain confidence little by little.,0,,I'm sorry to hear that. Why do you think you aren't confident in yourself?,0.5,,I think you are.,1,
,,,,,,,,,
"My wife passed away, so I am alone again.",Sorry to hear that. I know this kind of thing is hard for anyone.,1,0.5," I'm so sorry to hear that. How long ago did she pass away, if you don't mind me asking?",1,1,I'm so sorry for your loss.,1,1
I don't know if I could get over this.,You will! Do you have any plan for this weekend. Why not coming over to my place?,0,,I'm sorry to hear that. Why do you think you couldn't get over it if you don't mind me asking?,1,,I'm not sure if I could get over this.,1,
,,,,,,,,,
Im going on a cruise to mexico in a week!,Awesome! Who are you going with?,1,1,That sounds like a lot of fun! I've never been to Mexico. Where are you going?,1,1,Have fun!,1,1
With my family. How about you? Got any plan for the vacation?,I am visiting my friends and we will have a big meal for the Thanksgiving. I am looking forward to it!,1,,I'm going to the beach with my family for the first time. I can't wait!,1,,I have a plan for the vacation. I'm going to be in the US for a few weeks.,1,
,,,,,,,,,
I want to get a new job.,You don't like your current job?,1,0.75,What kind of job are you looking for? I'm looking for a new one as well.,1,1,I want to get a new job.,1,1
No. My current job is kind of boring.,I see. Did you try to talk to your manager regarding this?,0.5,,I'm sorry to hear that. Do you have any hobbies that keep you occupied?,1,,I'm sorry to hear that.,1,
,,,,,,,,,
I am looking forward to the winter break!,Sounds like you already have an exciting plan?,0.5,0.75,Me too!  I love the cooler weather.  What do you like to do during the winter?,1,1,I'm looking forward to the summer break!,1,1
"Of course, I will go back to my hometwon to see my parents. I can't wait anymore.",Awesome! Enjoy your time with your parents,1,,That's great! How long has it been since you've seen them? I'm sure you miss them a lot.,1,,I hope you have a great time!,1,
,,,,,,,,,
I will have a date this weekend. I am so excited!,Where are you planning to go?,0.5,0.75,That's great! I hope it goes well for you. What are you going to do?,1,1,Yay!!! Have fun!,1,0.75
I will go to a French restaurant. I heard the food there is authentic and the vibe is very good for dating.,Sounds great! Have a nice date buddy!,1,,I love french cuisine.  What kind of food do you like?,1,,I'm not sure if you're joking or not.,0.5,
,,,,,,,,,
I finally passed my driver's license test!,Congragulations! Do you plan to take a road trip?,1,1,Congratulations! How long did it take you to get your license and how did you do?,1,1,Congrats!!,1,1
Absolutely! I have been planning for it for very long. I am so excited!,Drive safe and have fun!,1,,I hope you have a great time! What are you going to do with your free time?,1,,I'm so excited for you!,1,
,,,,,,,,,
I didn't go back to China for three years. I miss my family a lot.,"Me, too. Can't wait to step on my homeland again!",1,0.5,I'm sorry to hear that. I hope you get to see them soon. Where did you go?,1,1,I'm sorry to hear that.,1,1
I am feeling bad because there are few flight tickets available and they are very expensive.,Don't worry. I am sure the price will go down as they are reopening more airlines.,0,,I'm sorry to hear that. I hope you can find a way to make it work.,1,,I feel you. I'm in the same boat.,1,
,,,,,,,,,
I think I fell in love with another woman. I feel guilty.,I think you can spend more time with your family and avoid seeing that woman.,1,0.5,I'm sorry to hear that. Have you talked to her about how you feel about it?,1,1,I know that feel.,0.5,0.75
It's tough and I am feeling bad for my wife.,You should and will be able to get over this!,0,,I am sorry to hear that.  What is going on?  Is it something that you can talk to her about?,1,,I'm sorry to hear that.,1,
,,,,,,,,,
I am tired of my old car. It breaks down a lot.,You should get a new one. I am afraid it may have some safety issues.,1,1,I'm sorry to hear that. What kind of car was it? Was it old or new?,1,1,I'm tired of my old car. It breaks down a lot.It breaks down a lot.It breaks down a lot.It breaks down a lot.It breaks down a lot.It breaks down a lot.,1,0.75
"Yes that is what I am thinking, but it's embarrassing because I don't have enough budget for a new car.",I see. I would suggest applying for some car loans.,1,," I know what you mean, I'm in the same boat. I've been saving up for a while now.",1,,I know that feel.,0.5,
,,,,,,,,,
I don't like my manager. He pushes me a lot.,"Then you should talk to him, try to express your thoughts.",0.5,0.75,I'm sorry to hear that. What is he doing that is making you feel that way?,1,1,I don't like my manager. He pushes me a lot. english haiku bot,1,0.9
I did but he is just assertive and never listens to me.,"I feel bad for you. If I were you, I might look for another job.",1,,I'm sorry to hear that. Have you tried talking to him about it? It might help.,1,,I know that feel.,0.5,
,,,,,,,,,
I finally got a chance to try a michelin star restaurant! That's really impressive!,I have net never been there before! The dishes must be great!,1,1,That's awesome! What kind of food will you be serving? Do you think you'll like it?,1,0.75,I'm jealous!,0,0
"Yeah, I really liked the beef there. It's like the best I have ever had.","I want to try that, too.",1,," That's good to hear. What kind of beef was it? Was it grilled, pan-fried, or broiled?",0.5,,I'm jealous.,0,
,,,,,,,,,
I am going to watch a NBA game during the winter break! I am so excited!,I have watched one before. It was really a great experience.,1,1,That sounds like a lot of fun! What team are you rooting for? Do you have a favorite team?,1,1,I'm jealous.,0,0
It is Warriors vs. Clippers and I can finally see Stephen Curry!,"He is my favourite NBA player, too. Hope I can be there, too.",1,,Are you a fan of the Warriors? They are one of the best teams in the NBA.,1,,I can't see him.,0,
Next time maybe we can go together.,Yeah. But the tickets are so expensive.,0.5,," That would be nice, but I don't think I'll be able to make it this time.",1,,I'm down.,0,
,,,,,,,,,
I forgot to pay my credit card last month and my credit scores dropped a lot. I feel sad.,"Don't worry. Just don't forget it again, you score will climb back.",0.5,0.5,I'm sorry to hear that. Did you call your credit card company to see if they could help you out?,1,1,I feel you. I've been in the same boat.,1,0.8
Actually this is my second time forgetting paying it. This made me really frustrated.,I would suggest setting automatic payment on.,0.5,,Oh no! I hate when that happens. Did you end up getting it taken care of?,1,,I know that feel.,0.5,
,,,,,,,,,
You know what? I got an offer from Google yesterday! I cannot believe it!,Wow! you must be a genius.,1,1," Wow, congratulations! What kind of job is it, if you don't mind me asking?",1,1,Congrats!!!,1,0.8
"You can do this, too. You just need to work hard and practice enough Leetcode.","Yeah, I am too lazy right now. I need to get rid of this bad habit.",1,," Yeah, I know. I just have to keep at it and I'll get there eventually.",1,,"I know, I just don't have the time to do it.",0.5,
,,,,,,,,,
I am glad that you finally got your citizenship!,Congradulations! I hope I can get mine as soon as possible.,1,1,Me too! It's been a long time since I've been able to leave the country.,0,0,Thanks! I'm glad to be here.,0,0
You just need to wait for enough time lol.,"Yeah, that is true.",0.5,," I know, but I can't help it. I feel like I'm going to die.",0,,"I know, but I'm impatient.",0,
,,,,,,,,,
Any plan for the vacation? I am thinking to go to Alaska. It must be lots of fun!,I have been there once! It is indeed a great place to visit.,1,1," I have never been there, but I have always wanted to go. I would love to see the northern lights.",1,0.75,I'm going to Alaska for a few weeks. I'm really excited.,1,0.75
So please tell me what to prepare for the trip if I decide to go there.,"Sure, let me finish my homework first.",0.5,," Well, I'm sure you'll have a great time. It's a great place to visit.",0.5,,I'm not sure what you mean by prepare for the trip.,0.5,
,,,,,,,,,
It's snowing heavily. What about taking a walk?,"Sure, I would like to join.",0.5,1," I don't have a car, so I have to walk everywhere. It's so cold here.",0.5,0.75,I'm not sure if I can take a walk. I'm not sure if I can take a walk.,0.5,0.75
I like the sound of stepping on the snow very much.,Exactly! That kind of sound always takes me to my fantasy world.,1,,I do too. It's so peaceful and soothing. I love it.,1,,I like the sound of stepping on the snow very much.is,1,
,,,,,,,,,
,,,,,,,,,
,,0.8510638298,0.8941666667,,0.8617021277,0.9116666667,,0.6524822695,0.6441666667